Concentration,Compound,Cytotoxicity
5.0,TCPP,0.612341243
10.0,TCPP,0.666109709
20.0,TCPP,0.788107137
40.0,TCPP,1.102419997
80.0,TCPP,2.147696404
160.0,TCPP,7.835629551
320.0,TCPP,55.5208013
640.0,TCPP,97.65001735
1280.0,TCPP,97.97999354
2560.0,TCPP,97.98
0.1,TPhP,0.001961613
5.0,TPhP,0.431572299
10.0,TPhP,1.114433745
20.0,TPhP,2.842476885
40.0,TPhP,7.031837811
80.0,TPhP,16.21276434
160.0,TPhP,32.53254459
320.0,TPhP,53.0498253
640.0,TPhP,70.01567693
1280.0,TPhP,79.82423269
2560.0,TPhP,84.36523695
0.1,TDCPP,0.00303023
5.0,TDCPP,0.242222823
10.0,TDCPP,0.526309959
20.0,TDCPP,1.143191876
40.0,TDCPP,2.481266063
80.0,TDCPP,5.376838879
160.0,TDCPP,11.61097405
320.0,TDCPP,24.88700339
640.0,TDCPP,52.512306
1280.0,TDCPP,107.3251525
2560.0,TDCPP,206.4939307
0.1,EHDPHP,2.796222311
5.0,EHDPHP,3.054191535
10.0,EHDPHP,3.334408971
20.0,EHDPHP,3.9480426
40.0,EHDPHP,5.398173498
80.0,EHDPHP,9.234049323
160.0,EHDPHP,20.39717645
320.0,EHDPHP,48.81448567
640.0,EHDPHP,84.67823515
1280.0,EHDPHP,96.09134762
2560.0,EHDPHP,96.55935501
0.1,TBOEP,2.670571552
5.0,TBOEP,2.823443092
10.0,TBOEP,2.988179081
20.0,TBOEP,3.346026703
40.0,TBOEP,4.189599952
80.0,TBOEP,6.521455305
160.0,TBOEP,15.07377618
320.0,TBOEP,53.3109795
640.0,TBOEP,97.20049295
1280.0,TBOEP,99.18885158
2560.0,TBOEP,99.19
0.1,TnBP2,0.308797041
5.0,TnBP2,0.342824678
10.0,TnBP2,0.38139983
20.0,TnBP2,0.471995447
40.0,TnBP2,0.722346398
80.0,TnBP2,1.683832266
160.0,TnBP2,8.661755179
320.0,TnBP2,73.84924045
640.0,TnBP2,98.86444544
1280.0,TnBP2,98.89999996
2560.0,TnBP2,98.9
0.1,Mix4,2.130755393
5.0,Mix4,2.227971021
10.0,Mix4,2.331633575
20.0,Mix4,2.553263174
40.0,Mix4,3.059652266
80.0,Mix4,4.379012828
160.0,Mix4,8.790794219
320.0,Mix4,29.84571934
640.0,Mix4,88.2060896
1280.0,Mix4,98.49025983
2560.0,Mix4,98.5199998
0.1,Mix5,4.780231693
5.0,Mix5,5.060047747
10.0,Mix5,5.356642625
20.0,Mix5,5.983768127
40.0,Mix5,7.375721596
80.0,Mix5,10.71341783
160.0,Mix5,19.43393438
320.0,Mix5,41.64580282
640.0,Mix5,78.86651758
1280.0,Mix5,100.637336
2560.0,Mix5,102.9819429
0.1,Mix6,1.491655967
5.0,Mix6,1.624868227
10.0,Mix6,1.772850958
20.0,Mix6,2.109591902
40.0,Mix6,2.980984729
80.0,Mix6,5.879416063
160.0,Mix6,20.54225383
320.0,Mix6,82.14382466
640.0,Mix6,100.9204252
1280.0,Mix6,100.9999991
2560.0,Mix6,101.0
0.1,Mix7,2.169307961
5.0,Mix7,2.275796585
10.0,Mix7,2.389718394
20.0,Mix7,2.63449159
40.0,Mix7,3.199299066
80.0,Mix7,4.699577926
160.0,Mix7,9.894849234
320.0,Mix7,35.32792659
640.0,Mix7,93.88589018
1280.0,Mix7,100.9872854
2560.0,Mix7,101.0
0.1,Mix8,0.130575373
5.0,Mix8,0.142747636
10.0,Mix8,0.156336823
20.0,Mix8,0.187511567
40.0,Mix8,0.269694783
80.0,Mix8,0.557194744
160.0,Mix8,2.348153498
320.0,Mix8,30.45265019
640.0,Mix8,96.47886904
1280.0,Mix8,97.09999459
2560.0,Mix8,97.1
0.1,Mix9,0.169903265
5.0,Mix9,0.180701906
10.0,Mix9,0.192427343
20.0,Mix9,0.218204989
40.0,Mix9,0.2805518
80.0,Mix9,0.463504013
160.0,Mix9,1.259590151
320.0,Mix9,8.733337119
640.0,Mix9,83.88953704
1280.0,Mix9,99.33423446
2560.0,Mix9,99.34
0.1,Mix11,0.908938901
5.0,Mix11,0.951941283
10.0,Mix11,0.997897627
20.0,Mix11,1.096497165
40.0,Mix11,1.323475831
80.0,Mix11,1.925136319
160.0,Mix11,4.034160345
320.0,Mix11,16.14017367
640.0,Mix11,79.23060446
1280.0,Mix11,98.34637769
2560.0,Mix11,98.39999973
0.1,Mix12,0.000162499
5.0,Mix12,0.000390894
10.0,Mix12,0.000902072
20.0,Mix12,0.004076039
40.0,Mix12,0.047504754
80.0,Mix12,1.251016107
160.0,Mix12,24.0586388
320.0,Mix12,87.93957758
640.0,Mix12,102.8077859
1280.0,Mix12,102.9999731
2560.0,Mix12,103.0
0.1,Mix13,1.091958357
5.0,Mix13,1.174238997
10.0,Mix13,1.264512973
20.0,Mix13,1.466104499
40.0,Mix13,1.968842353
80.0,Mix13,3.530402931
160.0,Mix13,10.84424093
320.0,Mix13,57.84009745
640.0,Mix13,101.3615884
1280.0,Mix13,101.9999563
2560.0,Mix13,102.0
0.1,Mix14,0.001154753
5.0,Mix14,0.001391241
10.0,Mix14,0.001682545
20.0,Mix14,0.002460901
40.0,Mix14,0.00526434
80.0,Mix14,0.024087171
160.0,Mix14,0.502046611
320.0,Mix14,68.6890453
640.0,Mix14,99.59976703
1280.0,Mix14,99.6
2560.0,Mix14,99.6
0.1,Mix17,2.137076624
5.0,Mix17,2.207488533
10.0,Mix17,2.28167579
20.0,Mix17,2.437432681
40.0,Mix17,2.780678785
80.0,Mix17,3.613592711
160.0,Mix17,6.05350576
320.0,Mix17,16.02771104
640.0,Mix17,63.74013746
1280.0,Mix17,103.1373294
2560.0,Mix17,103.9998475
0.1,Mix18,6.296632867
5.0,Mix18,6.377082263
10.0,Mix18,6.460177335
20.0,Mix18,6.629453502
40.0,Mix18,6.980664399
80.0,Mix18,7.736302758
160.0,Mix18,9.482103468
320.0,Mix18,14.09742244
640.0,Mix18,29.26423904
1280.0,Mix18,80.83300039
2560.0,Mix18,126.6921632
0.1,Mix19,3.24e-28
5.0,Mix19,9.92e-27
10.0,Mix19,2.73e-25
20.0,Mix19,1.2500000000000001e-22
